class;source;target;total;path
OOPreFormatter;3;0;3;src/main/java/net/sf/jabref/logic/openoffice/OOPreFormatter.java
ImportSettingsTab;0;3;3;src/main/java/net/sf/jabref/gui/preftabs/ImportSettingsTab.java
RTFChars;3;0;3;src/main/java/net/sf/jabref/logic/layout/format/RTFChars.java
GVKFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/GVKFetcher.java
URLDownload;3;0;3;src/main/java/net/sf/jabref/logic/net/URLDownload.java
ADSFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/ADSFetcher.java
CiteSeerXFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/CiteSeerXFetcher.java
SpringerFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/SpringerFetcher.java
DBLPFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/DBLPFetcher.java
DOAJFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/DOAJFetcher.java
ScienceDirectFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/ScienceDirectFetcher.java
INSPIREFetcher;3;0;3;src/main/java/net/sf/jabref/importer/fetcher/INSPIREFetcher.java
PersistenceTableColumnListener;0;3;3;src/main/java/net/sf/jabref/gui/maintable/PersistenceTableColumnListener.java
JabRefMain;0;3;3;src/main/java/net/sf/jabref/JabRefMain.java
RemoveLatexCommands;3;0;3;src/main/java/net/sf/jabref/logic/layout/format/RemoveLatexCommands.java
RemoteListenerServerLifecycle;3;0;3;src/main/java/net/sf/jabref/logic/remote/server/RemoteListenerServerLifecycle.java
UndoableModifySubtree;0;3;3;src/main/java/net/sf/jabref/gui/groups/UndoableModifySubtree.java
ConvertLegacyExplicitGroups;3;0;3;src/main/java/net/sf/jabref/importer/ConvertLegacyExplicitGroups.java
EntryUtil;0;3;3;src/main/java/net/sf/jabref/model/entry/EntryUtil.java
MnemonicAwareAction;0;3;3;src/main/java/net/sf/jabref/gui/actions/MnemonicAwareAction.java
PdfFileFilter;0;3;3;src/main/java/net/sf/jabref/pdfimport/PdfFileFilter.java
UnlinkedPDFFileFilter;0;3;3;src/main/java/net/sf/jabref/importer/UnlinkedPDFFileFilter.java
DatabaseLabelPattern;3;0;3;src/main/java/net/sf/jabref/logic/labelpattern/DatabaseLabelPattern.java
ParseException;0;3;3;src/main/java/net/sf/jabref/importer/fileformat/ParseException.java
BasePanelMode;0;3;3;src/main/java/net/sf/jabref/gui/BasePanelMode.java
ImportInspectionDialog;0;2;2;src/main/java/net/sf/jabref/gui/ImportInspectionDialog.java
EntryEditor;0;2;2;src/main/java/net/sf/jabref/gui/entryeditor/EntryEditor.java
OOBibStyle;2;0;2;src/main/java/net/sf/jabref/logic/openoffice/OOBibStyle.java
MedlinePlainImporter;2;0;2;src/main/java/net/sf/jabref/importer/fileformat/MedlinePlainImporter.java
RisImporter;2;0;2;src/main/java/net/sf/jabref/importer/fileformat/RisImporter.java
FieldComparator;2;0;2;src/main/java/net/sf/jabref/logic/bibtex/comparator/FieldComparator.java
UnitsToLatexFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/UnitsToLatexFormatter.java
StyleLoader;0;2;2;src/main/java/net/sf/jabref/logic/openoffice/StyleLoader.java
NormalizeDateFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizeDateFormatter.java
NormalizePagesFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizePagesFormatter.java
UndoableRemoveString;0;2;2;src/main/java/net/sf/jabref/gui/undo/UndoableRemoveString.java
UndoableRemoveEntry;0;2;2;src/main/java/net/sf/jabref/gui/undo/UndoableRemoveEntry.java
ProtectTermsFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/casechanger/ProtectTermsFormatter.java
UndoablePreambleChange;0;2;2;src/main/java/net/sf/jabref/gui/undo/UndoablePreambleChange.java
CountingUndoManager;0;2;2;src/main/java/net/sf/jabref/gui/undo/CountingUndoManager.java
LatexCleanupFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/LatexCleanupFormatter.java
NormalizeMonthFormatter;0;2;2;src/main/java/net/sf/jabref/logic/formatter/bibtexfields/NormalizeMonthFormatter.java
RisAuthors;2;0;2;src/main/java/net/sf/jabref/logic/layout/format/RisAuthors.java
RisKeywords;2;0;2;src/main/java/net/sf/jabref/logic/layout/format/RisKeywords.java
PreviewEntryFetcher;0;2;2;src/main/java/net/sf/jabref/importer/fetcher/PreviewEntryFetcher.java
ExportComparator;0;2;2;src/main/java/net/sf/jabref/exporter/ExportComparator.java
TreeNode;0;1;1;src/main/java/net/sf/jabref/logic/groups/TreeNode.java
PostOpenAction;0;1;1;src/main/java/net/sf/jabref/importer/PostOpenAction.java
GroupSelector;0;0;0;src/main/java/net/sf/jabref/gui/groups/GroupSelector.java
OOBibBase;0;0;0;src/main/java/net/sf/jabref/gui/openoffice/OOBibBase.java
CaseKeeperList;0;0;0;src/main/java/net/sf/jabref/logic/formatter/casechanger/CaseKeeperList.java
VM;0;0;0;src/main/java/net/sf/jabref/bst/VM.java
BibLatexEntryTypes;0;0;0;src/main/java/net/sf/jabref/model/entry/BibLatexEntryTypes.java
TableColumnsTab;0;0;0;src/main/java/net/sf/jabref/gui/preftabs/TableColumnsTab.java
EmacsKeyBindings;0;0;0;src/main/java/net/sf/jabref/gui/keyboard/EmacsKeyBindings.java
OpenOfficePanel;0;0;0;src/main/java/net/sf/jabref/gui/openoffice/OpenOfficePanel.java
ManageJournalsPanel;0;0;0;src/main/java/net/sf/jabref/gui/journals/ManageJournalsPanel.java
TextInputDialog;0;0;0;src/main/java/net/sf/jabref/gui/plaintextimport/TextInputDialog.java
HTMLUnicodeConversionMaps;0;0;0;src/main/java/net/sf/jabref/logic/util/strings/HTMLUnicodeConversionMaps.java
MedlineHandler;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/MedlineHandler.java
FileListEditor;0;0;0;src/main/java/net/sf/jabref/gui/fieldeditors/FileListEditor.java
StyleSelectDialog;0;0;0;src/main/java/net/sf/jabref/gui/openoffice/StyleSelectDialog.java
MainTableSelectionListener;0;0;0;src/main/java/net/sf/jabref/gui/maintable/MainTableSelectionListener.java
MergeEntries;0;0;0;src/main/java/net/sf/jabref/gui/mergeentries/MergeEntries.java
PdfContentImporter;0;0;0;src/main/java/net/sf/jabref/importer/fileformat/PdfContentImporter.java
GroupDialog;0;0;0;src/main/java/net/sf/jabref/gui/groups/GroupDialog.java
ContentSelectorDialog2;0;0;0;src/main/java/net/sf/jabref/gui/ContentSelectorDialog2.java
SearchResultsDialog;0;0;0;src/main/java/net/sf/jabref/gui/search/SearchResultsDialog.java
EntryCustomizationDialog;0;0;0;src/main/java/net/sf/jabref/gui/EntryCustomizationDialog.java
StringDialog;0;0;0;src/main/java/net/sf/jabref/gui/StringDialog.java
GVKParser;0;0;0;src/main/java/net/sf/jabref/importer/fetcher/GVKParser.java
