;Class;findbugsScary;findbugsBadPractice;findbugsStyle;findbugsAll;pmdPriority;pmdCodeSize;pmdDesign;pmdCoupling;pmdAll;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM;Lines;Statements;X..Branches;Calls;X..Comments;Classes;Methods.Class;Avg.Stmts.Method;Max.Complexity;Max.Depth;Avg.Depth;Avg.Complexity;ID;ncloc;complexity;class_complexity;comment_lines;comment_lines_density;public_undocumented_api;duplicated_lines;violations;code_smells;sqale_index;sqale_debt_ratio;bugs;vulnerabilities;statements;public_api;functions;Commits;CreationTime;Source;Target;Total;DAC;LD;MPC
435;LocalizationKey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;12;0;13;43837;1;4;1;1;2;44044;1;514;19;4;4;2;43960;5;0;1;1;5;0.9;0;0;4;5;4;0;1468368000;0;0;0;0;0;0
436;LocalizationKeyParams;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;18;43841;9;0;1;2;43955;2;3;14246;2;515;23;5;5;0;0;3;0;1;1;5;0.7;0;0;9;3;2;0;1468368000;0;0;0;1;1;2
437;LowerCaseFormatter;0;0;0;0;0;0;0;3;15;8;1;0;4;18;28;8;8;50;20;0;9;6;1;7;47119;1;2;45658;1;471;35;7;7;1;44045;1;0;1;1;5;0.5;0;0;9;1;7;2;1459521143;0;0;0;3;0;7
438;MacAdapter;0;0;1;1;1;0;0;5;27;0;0;0;0;0;0;0;0;99;50;14;20;43877;1;6;42826;4;3;46753;42767;704;68;16;16;13;16;2;0;0;0;0;0;0;0;25;2;6;6;1438280765;0;0;0;1;1;4
439;MainTable;2;5;1;11;38;24;5;142;369;35;5;0;47;190;465;27;22;679;361;15;316;44026;2;14;44440;21;7;41671;19054;237;482;99;49.5;62;43932;10;0;15;15;116;0.8;0;0;248;17;30;149;1130651965;0;3;3;30;0.533333333;65
440;MainTableColumn;0;0;0;0;6;4;0;6;56;11;1;7;8;37;0;12;11;147;84;19;34;43869;1;11;26755;12;6;30317;20121;238;110;28;28;6;43866;7;0;3;3;27;0.8;0;0;53;9;8;26;1449134805;0;0;0;9;0.666666667;7
441;MainTableDataModel;0;1;0;1;7;2;4;12;115;11;1;0;19;38;3;7;8;0;0;0;0;0;0;0;0;0;0;0;0;239;208;47;44050;12;43956;14;0;1;1;5;0.1;0;0;90;14;21;6;1459805230;0;0;0;12;0.307692308;13
442;MainTableFormat;0;0;0;0;3;12;0;20;67;9;1;0;9;33;0;3;8;169;67;43946;53;43973;1;7;31533;16;4;33970;15766;240;100;24;24;16;44056;3;0;2;2;20;0.7;0;0;43;5;7;96;1130651965;0;0;0;9;0.125;10
443;MainTableHeaderRenderer;0;0;0;0;3;0;0;5;26;2;1;0;0;8;0;1;2;53;21;43904;6;32.1;1;2;43956;5;4;24473;3;241;28;5;5;2;44018;2;0;1;1;5;0.6;0;0;10;2;2;2;1456925421;0;0;0;0;0;0
444;MainTableNameFormatter;0;0;0;0;4;0;1;5;16;2;1;0;3;8;1;2;2;42;22;44034;9;44066;1;1;16;6;3;26665;6;242;26;11;11;7;43882;1;0;3;3;46;44079;0;0;16;2;1;4;1449846303;0;0;0;3;0;9
