	file	good	path
107	DOItoBibTeXFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/DOItoBibTeXFetcher.java
108	NameFormatter	False	src/main/java/net/sf/jabref/logic/layout/format/NameFormatter.java
109	DiVAtoBibTeXFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/DiVAtoBibTeXFetcher.java
110	BibtexImporter	False	src/main/java/net/sf/jabref/importer/fileformat/BibtexImporter.java
111	TypedBibEntry	False	src/main/java/net/sf/jabref/logic/TypedBibEntry.java
112	DatabaseUtil	False	src/main/java/net/sf/jabref/sql/DatabaseUtil.java
113	UpgradePdfPsToFileCleanup	False	src/main/java/net/sf/jabref/logic/cleanup/UpgradePdfPsToFileCleanup.java
114	FieldContentParser	False	src/main/java/net/sf/jabref/logic/bibtex/FieldContentParser.java
115	AbstractWorker	False	src/main/java/net/sf/jabref/gui/worker/AbstractWorker.java
116	OS	False	src/main/java/net/sf/jabref/logic/util/OS.java
117	LatexToUnicodeFormatter	False	src/main/java/net/sf/jabref/logic/layout/format/LatexToUnicodeFormatter.java
118	EntryTypeDialog	False	src/main/java/net/sf/jabref/gui/EntryTypeDialog.java
119	CrossrefFetcherEvaluator	False	src/main/java/net/sf/jabref/importer/fetcher/CrossrefFetcherEvaluator.java
120	UndoableFieldChange	False	src/main/java/net/sf/jabref/gui/undo/UndoableFieldChange.java
121	UndoableStringChange	False	src/main/java/net/sf/jabref/gui/undo/UndoableStringChange.java
122	EntryEditorTabList	False	src/main/java/net/sf/jabref/gui/entryeditor/EntryEditorTabList.java
123	Change	False	src/main/java/net/sf/jabref/collab/Change.java
124	JabRefException	False	src/main/java/net/sf/jabref/JabRefException.java
125	BibDatabaseMode	False	src/main/java/net/sf/jabref/model/database/BibDatabaseMode.java
126	FileLinksCleanup	False	src/main/java/net/sf/jabref/logic/cleanup/FileLinksCleanup.java
127	EntryFromExternalFileCreator	False	src/main/java/net/sf/jabref/importer/EntryFromExternalFileCreator.java
128	EntryFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/EntryFetcher.java
129	NativeDesktop	False	src/main/java/net/sf/jabref/gui/desktop/os/NativeDesktop.java
130	BibtexParser	False	src/main/java/net/sf/jabref/importer/fileformat/BibtexParser.java
131	LayoutEntry	False	src/main/java/net/sf/jabref/logic/layout/LayoutEntry.java
132	MainTable	False	src/main/java/net/sf/jabref/gui/maintable/MainTable.java
133	IntegrityCheck	False	src/main/java/net/sf/jabref/logic/integrity/IntegrityCheck.java
134	GroupTreeNodeViewModel	False	src/main/java/net/sf/jabref/gui/groups/GroupTreeNodeViewModel.java
135	OAI2Fetcher	False	src/main/java/net/sf/jabref/importer/fetcher/OAI2Fetcher.java
136	MedlineFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/MedlineFetcher.java
137	HTMLChars	False	src/main/java/net/sf/jabref/logic/layout/format/HTMLChars.java
138	OOPreFormatter	False	src/main/java/net/sf/jabref/logic/openoffice/OOPreFormatter.java
139	ImportSettingsTab	False	src/main/java/net/sf/jabref/gui/preftabs/ImportSettingsTab.java
140	RTFChars	False	src/main/java/net/sf/jabref/logic/layout/format/RTFChars.java
141	GVKFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/GVKFetcher.java
142	URLDownload	False	src/main/java/net/sf/jabref/logic/net/URLDownload.java
143	ADSFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/ADSFetcher.java
144	CiteSeerXFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/CiteSeerXFetcher.java
145	SpringerFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/SpringerFetcher.java
146	DBLPFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/DBLPFetcher.java
147	DOAJFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/DOAJFetcher.java
148	ScienceDirectFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/ScienceDirectFetcher.java
149	INSPIREFetcher	False	src/main/java/net/sf/jabref/importer/fetcher/INSPIREFetcher.java
150	PersistenceTableColumnListener	False	src/main/java/net/sf/jabref/gui/maintable/PersistenceTableColumnListener.java
151	JabRefMain	False	src/main/java/net/sf/jabref/JabRefMain.java
152	RemoveLatexCommands	False	src/main/java/net/sf/jabref/logic/layout/format/RemoveLatexCommands.java
153	RemoteListenerServerLifecycle	False	src/main/java/net/sf/jabref/logic/remote/server/RemoteListenerServerLifecycle.java
154	UndoableModifySubtree	False	src/main/java/net/sf/jabref/gui/groups/UndoableModifySubtree.java
155	ConvertLegacyExplicitGroups	False	src/main/java/net/sf/jabref/importer/ConvertLegacyExplicitGroups.java
156	EntryUtil	False	src/main/java/net/sf/jabref/model/entry/EntryUtil.java
157	MnemonicAwareAction	False	src/main/java/net/sf/jabref/gui/actions/MnemonicAwareAction.java
158	PdfFileFilter	False	src/main/java/net/sf/jabref/pdfimport/PdfFileFilter.java
159	UnlinkedPDFFileFilter	False	src/main/java/net/sf/jabref/importer/UnlinkedPDFFileFilter.java
160	DatabaseLabelPattern	False	src/main/java/net/sf/jabref/logic/labelpattern/DatabaseLabelPattern.java
161	ParseException	False	src/main/java/net/sf/jabref/importer/fileformat/ParseException.java
162	BasePanelMode	False	src/main/java/net/sf/jabref/gui/BasePanelMode.java
